"Station"	"Sep17"	"Jan18"	"Jun18"	"Oct18"	"Jan19"
"Fuliya5-water"	82	1263	13	4266	215
"Fuliya1-water"	387	345	48	171	185
"Ein7-water"	1800	9877	503	6776	8549
"Fuliya4-water"	4153	5810	1237	12984	5154
"Gesher Hana-water"	3865	6723	3033	24352	4948
"Maayan1-water"	3390	5925	3670	16872	10905
"Barbutim-water"	3460	10577	3140	10382	33128
"Fuliya3-water"	632	3067	410	3844	210
"Nur-water"	242	6610	18400	6980	3945
"Haon Borehole-water"	73842	22800	21275	4736	62695
"Tiberias Pump-water"	123667	846333	371500	255123	792
"Tiberias Head-water"	121333	850	2545	1426	40
"Tiberias Pool-water"	67200	41100	25575	69404	158026
"Fuliya5-biofilm"	2237.7	8210	40.2	4805.4	13060.6
"Fuliya1-biofilm"	2076.7	1907.5	1624.3	669.5	32726.6
"Ein7-biofilm"	436.4	2790	151.4	1874.5	11970.9
"Fuliya4-biofilm"	12308.1	5305	390	11967.7	22879.5
"Gesher Hana-biofilm"	5301.3	5330	306	1844.2	22544.9
"Maayan1-biofilm"	8193.3	37450	2680	20229.4	28089.7
"Fuliya3-biofilm"	16229.7	3340	584.3	527.6	16696
"Tiberias Head-biofilm"	79335.2	123550	24466.7	13228.9	93604.5
"Tiberias Pool-biofilm"	8033.6	6220	20325	17215.7	278586.1
