"Station","Date","time","Sample-name","origin","environment","origin","Legionella-count","Na","Temp","TP"
"Fuliya5-biofilm","Sep17","t1","Fuliya5-biofilm-Sep17","Fuliya","Biofilm","Fuliya-biofilm",2237.67075,17,29,22.6
"Fuliya5-biofilm","Jan18","t2","Fuliya5-biofilm-Jan18","Fuliya","Biofilm","Fuliya-biofilm",8210,17,28,14
"Fuliya5-biofilm","Jun18","t3","Fuliya5-biofilm-Jun18","Fuliya","Biofilm","Fuliya-biofilm",40.2,18,28,9.2
"Fuliya5-biofilm","Oct18","t4","Fuliya5-biofilm-Oct18","Fuliya","Biofilm","Fuliya-biofilm",4805.4285,16,27,15
"Fuliya5-biofilm","Jan19","t5","Fuliya5-biofilm-Jan19","Fuliya","Biofilm","Fuliya-biofilm",13060.6225,19,27.5,10.4
"Fuliya4-biofilm","Sep17","t1","Fuliya4-biofilm-Sep17","Fuliya","Biofilm","Fuliya-biofilm",12308.05325,19,30,24.7
"Fuliya4-biofilm","Jan18","t2","Fuliya4-biofilm-Jan18","Fuliya","Biofilm","Fuliya-biofilm",5305,19,26,11.6
"Fuliya4-biofilm","Jun18","t3","Fuliya4-biofilm-Jun18","Fuliya","Biofilm","Fuliya-biofilm",390,20,28,11.4
"Fuliya4-biofilm","Oct18","t4","Fuliya4-biofilm-Oct18","Fuliya","Biofilm","Fuliya-biofilm",11967.7153333333,18,27,151.7
"Fuliya4-biofilm","Jan19","t5","Fuliya4-biofilm-Jan19","Fuliya","Biofilm","Fuliya-biofilm",22879.469,21,23,93.5
"Fuliya3-biofilm","Sep17","t1","Fuliya3-biofilm-Sep17","Fuliya","Biofilm","Fuliya-biofilm",16229.693,31,31,19.7
"Fuliya3-biofilm","Jan18","t2","Fuliya3-biofilm-Jan18","Fuliya","Biofilm","Fuliya-biofilm",3340,19,27,8.5
"Fuliya3-biofilm","Jun18","t3","Fuliya3-biofilm-Jun18","Fuliya","Biofilm","Fuliya-biofilm",584.25,22,26,8.8
"Fuliya3-biofilm","Oct18","t4","Fuliya3-biofilm-Oct18","Fuliya","Biofilm","Fuliya-biofilm",527.56225,28,30,16.6
"Fuliya3-biofilm","Jan19","t5","Fuliya3-biofilm-Jan19","Fuliya","Biofilm","Fuliya-biofilm",16696.04875,33,29,10.3
"Fuliya2-biofilm","Sep17","t1","Fuliya2-biofilm-Sep17","Fuliya","Biofilm","Fuliya-biofilm",244.382666666667,21,30,20.6
"Fuliya2-biofilm","Jan18","t2","Fuliya2-biofilm-Jan18","Fuliya","Biofilm","Fuliya-biofilm",2063.33333333333,24,29,13.5
"Fuliya2-biofilm","Jun18","t3","Fuliya2-biofilm-Jun18","Fuliya","Biofilm","Fuliya-biofilm",16733.3333333333,25,30,12
"Fuliya2-biofilm","Oct18","t4","Fuliya2-biofilm-Oct18","Fuliya","Biofilm","Fuliya-biofilm",1761.361,21,29,9
"Fuliya2-biofilm","Jan19","t5","Fuliya2-biofilm-Jan19","Fuliya","Biofilm","Fuliya-biofilm",,,,
"Fuliya1-biofilm","Sep17","t1","Fuliya1-biofilm-Sep17","Fuliya","Biofilm","Fuliya-biofilm",2076.71575,17,29,21.7
"Fuliya1-biofilm","Jan18","t2","Fuliya1-biofilm-Jan18","Fuliya","Biofilm","Fuliya-biofilm",1907.5,17,28,12.5
"Fuliya1-biofilm","Jun18","t3","Fuliya1-biofilm-Jun18","Fuliya","Biofilm","Fuliya-biofilm",1624.25,19,28,14.3
"Fuliya1-biofilm","Oct18","t4","Fuliya1-biofilm-Oct18","Fuliya","Biofilm","Fuliya-biofilm",669.54525,17,27.5,10.5
