id	time	collection_date	year	month	station	cluster	environment	sequancing-run	sequencing-centre	faith_pd	pielou_evenness	shannon_entropy	observed_OTUs
8W-917	1	09-2017	2017	Sep	barbutim	Tabgha	water	05-2018	MrDNA	4.03014872526811	0.545565966977496	2.62272923665638	28
16W-917	1	09-2017	2017	Sep	haon-drill	Haon	water	05-2018	MrDNA	3.03566341966748	0.572490100341889	1.47986544141788	6
12W-917	1	09-2017	2017	Sep	tveria-head	Tiberias_Hot_Springs	water	05-2018	MrDNA	3.16799545462182	0.332603289020997	1.10488421025079	10
9W-917	2	09-2017	2017	Sep	maayan1	Tabgha	water	05-2018	MrDNA	5.99138920979548	0.765529660432473	4.6921479466564	70
6W-917	1	09-2017	2017	Sep	ein7	Tabgha	water	05-2018	MrDNA	6.4529232865217	0.92735684820842	5.91193647425828	83
5W-917	1	09-2017	2017	Sep	fulia4	Fuliya	water	05-2018	MrDNA	5.09958034426684	0.906108794335686	5.06058363793847	48
10W-917	1	09-2017	2017	Sep	nur	Tabgha	water	10-2020	MrDNA	4.4411115255854	0.873596963509305	4.40676738541574	33
8W-118	2	01-2018	2018	Jan	barbutim	Tabgha	water	10-2020	UIC	4.62931948603896	0.705129009394128	3.89482377040157	46
16W-118	2	01-2018	2018	Jan	haon-drill	Haon	water	10-2020	UIC	2.96730949273703	0.869245717507583	2.01832605284138	5
13W-118	2	01-2018	2018	Jan	tveria-pump	Tiberias_Hot_Springs	water	10-2020	UIC	4.64155768733858	0.655378141265132	3.64035611710451	47
14W-118	2	01-2018	2018	Jan	tveria-pool	Tiberias_Hot_Springs	water	10-2020	UIC	3.63840166049894	0.548795477944506	2.14408389169387	15
11W-118	2	01-2018	2018	Jan	gesher-hana	Tabgha	water	10-2020	UIC	8.3038847435258	0.908591878731715	6.65264440367224	160
10W-118	2	01-2018	2018	Jan	nur	Tabgha	water	10-2020	UIC	8.16602254563022	0.74457424239957	5.43138671769817	157
9W-118	2	01-2018	2018	Jan	maayan1	Tabgha	water	10-2020	UIC	9.11474810096568	0.897147298911915	6.88962482831912	205
6W-118	2	01-2018	2018	Jan	ein7	Tabgha	water	10-2020	UIC	7.06379532641668	0.634839023371312	4.33778522339594	114
5W-118	2	01-2018	2018	Jan	fulia4	Fuliya	water	10-2020	UIC	7.19517176251339	0.873015405078365	6.17816903512422	135
8W-918	4	09-2018	2018	Sep	barbutim	Tabgha	water	10-2020	UIC	4.68602607263539	0.676737155010045	3.77955163357582	48
16W-918	4	09-2018	2018	Sep	haon-drill	Haon	water	10-2020	UIC	3.06935755648996	0.444087785090859	1.24671202930048	7
13W-918	4	09-2018	2018	Sep	tveria-pump	Tiberias_Hot_Springs	water	10-2020	UIC	4.54005203031253	0.596974024513169	3.35183593211516	49
14W-918	4	09-2018	2018	Sep	tveria-pool	Tiberias_Hot_Springs	water	10-2020	UIC	3.2027000787066	0.524486939572676	1.81442670232002	11
11W-918	4	09-2018	2018	Sep	gesher-hana	Tabgha	water	10-2020	UIC	6.6128330210741	0.836201554510251	5.69232076792758	112
10W-918	4	09-2018	2018	Sep	nur	Tabgha	water	10-2020	UIC	4.34469880228658	0.880492921540457	4.55208236866499	36
9W-918	4	09-2018	2018	Sep	maayan1	Tabgha	water	10-2020	UIC	6.11553605147054	0.848202725063289	5.5199291479688	91
6W-918	4	09-2018	2018	Sep	ein7	Tabgha	water	10-2020	UIC	4.94697525806562	0.633154619124726	3.55497947284661	49
