	"8W-719"	"16W-719"	"12W-719"	"9W-719"	"6W-719"	"5W-719"	"12B-719"	"9B-719"	"6B-719"	"5B-719"	"13W-719"	"11W-719"	"10W-719"	"8W-811"	"16W-811"	"13W-811"	"14W-811"	"11W-811"	"10W-811"	"9W-811"	"6W-811"	"5W-811"	"12B-811"	"14B-811"	"11B-811"	"9B-811"	"6B-811"	"5B-811"	"8W-819"	"16W-819"	"12W-819"	"13W-819"	"14W-819"	"11W-819"	"10W-819"	"9W-819"	"6W-819"	"5W-819"	"14B-819"	"11B-819"	"9B-819"	"6B-819"	"5B-819"	"8W-911"	"16W-911"	"12W-911"	"13W-911"	"14W-911"	"11W-911"	"10W-911"	"9W-911"	"6W-911"	"5W-911"	"12B-911"	"14B-911"	"11B-911"	"9B-911"	"6B-911"	"5B-911"	"12W-816"	"12B-816"	"14W-816"	"14B-816"	"14B-719"	"11B-719"	"10B-719"	"12W-811"	"12B-819"	"14W-719"
"06b4e4ed685a4f5f8b1597dbd2142c86"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"3f50f23d2dbca956625191c26ee99976"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0
"23410f41e1d5bd4a79068cc742ba263e"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1cbd55f61e5813e1dc84f44b4c9118d3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	57	176	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1a4760e3c038aa162a8574d3e44d5436"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	63	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"a9146bc8abd4e7771f1fe9a2fa9cd457"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	389	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	40	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"449d13a240e79554a851c87d53eaefe4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	29	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	113	80	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"385d6b7ee3cf7466ab81be4d4fa6d9f4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"899af466e7f18241e997aa4070a2a2e5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	44	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"db42d3d075a5621f2ca639d32df249be"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	56	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"38eb13558ce5d2f0dac071f79f1684c3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
"d2d3b6afa7ea78c99d0cf19ff489618c"	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	105	0	0	0	227	50	165	0	0	0	0	0	518	0	0	0	151	0	157	0	0	644	0	0	0	0	0	0	0	0	0	195	0	0	434	0	0	101	0	0	0	0	0	0	37	0	0	0
"43aa0d0cff86ff3a9a312e86a2c3f945"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"3cfa450f92ba5b0b6727e8f9185b604a"	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	1006	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	274	0	0	0	0	0	0	0	0	0	0	0	381	0	0	0	74	0	56	0	0	0	0	0	0	0	0	0	0
"dccdf33c1932c976849ab395482481fa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1ee3e1c43bafbf26c9a9d2bec01b2132"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"02b0cca89c39a801ce0382c2807ebd16"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"121c40b6866071e213b4cf4e4e880202"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	93	0	0	0	0	0	25	0	0	0	141	0	0	0	0	383	0	0	241	0	46	0	0	0	0	1198	0	0	4	0	0	545	0	0	0	0	0	0	0	0	0	0
"5ef0be33ed9f3014a7ca849e9f2b9cb1"	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"77739026e9ffe6b5ce680d77cb104e05"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	487	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"80ed962970fa48532aea38b8de1abfc9"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"12582978d024cbdc3f595a7c89d2a112"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"cea02d1146f5d6d2cf07f9e717e7a29c"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	13	0	21	75	0	0	0	29	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	1415	0	0	0	0	0	0	45	0	48	0	0	0	0	193	151	133	0	0	0	0	0	0	0	0	0	0	0
"ebc6bbc3a3b1e6f4f3445f54782793c4"	0	0	0	104	97	58	0	0	0	29	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"356a1f1bd9abb542db726e11fecdb5f2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
