SampleID,BarcodeSequence,LinkerPrimerSequence,collection-date,Barplot-name-rev,SampleID-new,yaer,month,sample-name-sequencing-centre,sequencing-centre,new-sample-Ids,sequancing-run,result,station,Station-date,barplot.name,origin,origin_new,environment,DEPTH,amplicon,primers,DNA-extraction,DNA-conc,temperature,pH,turbidity,conductivity,TN,TP,Na,bar.plot.fin.name
8W-719,,,09-2017,8W-719,8W-917,2017,Sep,8w,MrDNA,8W-917,05-2018,work,Barbutim,Barbutim 719,Barbutim 09-2017 (W),Tabha,Tabgha,Water,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-Water,1.56,26,7.49,1.32,3630,0.64,19.7,19.36,Tiberias Head 09-2017
16W-719,,,09-2017,16W-719,16W-917,2017,Sep,16w,MrDNA,16W-917,05-2018,work,Haon,Haon 719,Haon 09-2017 (W),Haon,Haon,Water,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-Water,23.8,27,7.38,17.7,14400,2.57,98.3,115.57,Tiberias Head 01-2018
12W-719,,,09-2017,12W-719,12W-917,2017,Sep,12w,MrDNA,12W-917,05-2018,work,Tiberias Head,Tiberias Head 719,Tiberias Head 09-2017 (W),Hamei-tveria,Tiberias Hot Springs,Water,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-Water,8.22,59,6.51,8.83,46600,9.44,24.6,360.59,Tiberias Head 06-2018
9W-719,,,09-2017,9W-719,9W-917,2017,Sep,9w,MrDNA,9W-917,05-2018,work,Maayan1,Maayan1 719,Maayan1 09-2017 (W),Tabha,Tabgha,Water,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-Water,2.64,29,7.42,1.22,4460,2.22,17,27.97,Tiberias Head 09-2018
6W-719,,,09-2017,6W-719,6W-917,2017,Sep,6w,MrDNA,6W-917,05-2018,work,Ein7,Ein7 719,Ein7 09-2017 (W),Tabha,Tabgha,Water,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-Water,11,25,7.36,1.18,4480,2.81,19.8,18.53,Tiberias Head 01-2019
5W-719,,,09-2017,5W-719,179-5w,2017,Sep,5w,MrDNA,5W-917,05-2018,work,Fuliya4,Fuliya4 719,Fuliya4 09-2017 (W),Fulia,Fuliya,Water,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-Water,10.2,30,7.29,5.19,3420,3.75,24.7,19.62,Tiberias Pool 09-2017
12B-719,,,09-2017,12B-719,12B-917,2017,Sep,12B,MrDNA,12B-917,05-2018,work,Tiberias Head,Tiberias Head 719,Tiberias Head 09-2017 (B),Hamei-tveria,Tiberias Hot Springs,Biofilm,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-soil,8.22,59,6.51,8.83,46600,9.44,24.6,360.59,Tiberias Pool 01-2018
9B-719,,,09-2017,9B-719,9B-917,2017,Sep,9B,MrDNA,9B-917,05-2018,work,Maayan1,Maayan1 719,Maayan1 09-2017 (B),Tabha,Tabgha,Biofilm,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-soil,2.64,29,7.42,1.22,4460,2.22,17,27.97,Tiberias Pool 06-2018
6B-719,,,09-2017,6B-719,6B-917,2017,Sep,6B,MrDNA,6B-917,05-2018,work,Ein7,Ein7 719,Ein7 09-2017 (B),Tabha,Tabgha,Biofilm,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-soil,11,25,7.36,1.18,4480,2.81,19.8,18.53,Tiberias Pool 09-2018
5B-719,,,09-2017,5B-719,5B-917,2017,Sep,5B,MrDNA,5B-917,05-2018,work,Fuliya4,Fuliya4 719,Fuliya4 09-2017 (B),Fulia,Fuliya,Biofilm,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-soil,10.2,30,7.29,5.19,3420,3.75,24.7,19.62,Tiberias Pool 01-2019
13W-719,,,09-2017,13W-719,13W-917,2017,Sep,13w-0917,MrDNA,13W-917,10-2020,work,Tiberias Pump,Tiberias Pump 719,Tiberias Pump 09-2017 (W),Hamei-tveria,Tiberias Hot Springs,Water,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-Water,10.6,51,6.93,2.91,44900,2.55,27.9,341.8,Tiberias Pump 09-2017
14W-719,,,09-2017,14W-719,14W-917,2017,Sep,14W-0917,MrDNA,14W-917,10-2020,work,Tiberias Pool,Tiberias Pool 719,Tiberias Pool 09-2017 (W),Hamei-tveria,Tiberias Hot Springs,Water,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-Water,3.48,46,6.97,1.32,47900,7.71,20.6,366.42,Tiberias Pump 01-2018
11W-719,,,09-2017,11W-719,11W-917,2017,Sep,11W-0917,MrDNA,11W-917,10-2020,work,Gesher hana,Gesher hana 719,Gesher hana 09-2017 (W),Tabha,Tabgha,Water,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-Water,7.8,26,7.89,2.21,4430,2.4,18.3,27.23,Tiberias Pump 09-2018
10W-719,,,09-2017,10W-719,10W-917,2017,Sep,10W-0917,MrDNA,10W-917,10-2020,work,Nur,Nur 719,Nur 09-2017 (W),Tabha,Tabgha,Water,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-Water,1.16,26,7.29,0.54,6660,2.04,17.4,41.58,Tiberias Pump 01-2019
8W-811,,,01-2018,8W-811,8W-118,2018,Jan,Oded074_8w_0118,UIC,8W-118,10-2020,work,Barbutim,Barbutim 811,Barbutim 01-2018 (W),Tabha,Tabgha,Water,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-Water,2.62,24,7.45,2.33,3690,0.93,19.5,21.56,Haon 09-2017
16W-811,,,01-2018,16W-811,16W-118,2018,Jan,Oded075_16w_0118,UIC,16W-118,10-2020,work,Haon,Haon 811,Haon 01-2018 (W),Haon,Haon,Water,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-Water,5.56,22.1,7.33,880,13920,3.69,130.2,87.97,Haon 01-2018
12W-811,,,01-2018,12W-811,12W-118,2018,Jan,Oded076_12w_0118,UIC,12W-118,10-2020,fail,Tiberias Head,Tiberias Head 811,Tiberias Head 01-2018 (W),Hamei-tveria,Tiberias Hot Springs,Water,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-Water,10.8,56,6.06,0.71,45900,3.62,8.7,274.94,Haon 09-2018
13W-811,,,01-2018,13W-811,13W-118,2018,Jan,Oded077_13w_0118,UIC,13W-118,10-2020,work,Tiberias Pump,Tiberias Pump 811,Tiberias Pump 01-2018 (W),Hamei-tveria,Tiberias Hot Springs,Water,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-Water,4.96,39,6.69,5.86,37600,2.18,60.7,219.13,Haon 01-2019
14W-811,,,01-2018,14W-811,14W-118,2018,Jan,Oded078_14W_0118,UIC,14W-118,10-2020,fail,Tiberias Pool,Tiberias Pool 811,Tiberias Pool 01-2018 (W),Hamei-tveria,Tiberias Hot Springs,Water,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-Water,9.48,40,7.02,5.38,46800,3.85,16,284.72,Barbutim 09-2017
