"#_Constructed_from_biom_file"																																								
"OTU_ID"	"Barbutim_09_2017_W"	"Haon_09_2017_W"	"Tiberias_Head_09_2017_W"	"Maayan1_09_2017_W"	"Ein7_09_2017_W"	"Fuliya4_09_2017_W"	"Tiberias_Pump_09_2017_W"	"Gesher_hana_09_2017_W"	"Nur_09_2017_W"	"Barbutim_01_2018_W"	"Haon_01_2018_W"	"Tiberias_Pump_01_2018_W"	"Tiberias_Pool_01_2018_W"	"Gesher_hana_01_2018_W"	"Nur_01_2018_W"	"Maayan1_01_2018_W"	"Ein7_01_2018_W"	"Fuliya4_01_2018_W"	"Barbutim_09_2018_W"	"Haon_09_2018_W"	"Tiberias_Head_09_2018_W"	"Tiberias_Pump_09_2018_W"	"Tiberias_Pool_09_2018_W"	"Gesher_hana_09_2018_W"	"Nur_09_2018_W"	"Maayan1_09_2018_W"	"Ein7_09_2018_W"	"Fuliya4_09_2018_W"	"Barbutim_01_2019_W"	"Haon_01_2019_W"	"Tiberias_Head_01_2019_W"	"Tiberias_Pump_01_2019_W"	"Tiberias_Pool_01_2019_W"	"Gesher_hana_01_2019_W"	"Nur_01_2019_W"	"Maayan1_01_2019_W"	"Ein7_01_2019_W"	"Fuliya4_01_2019_W"	"Tiberias_Head_06_2018_W"	"Tiberias_Pool_06_2018_W"
"42c86"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000905065132366	0.003592089840057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"99976"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000703383273546	0	0	0	0	0	0	0	0	0	0.000171338496333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"a263e"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001323401520021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"118d3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003555613020008	0	0.001743355244356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001959624343711	0.00168240850059	0.004985553226446	0.002993479549496	0	0	0
"d5436"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001294091547734	0	0.001784601439012	0.000592768227623	0	0	0
"cd457"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015913274698302	0	0	0	0	0	0	0	0	0	0.001280655695716	0	0	0	0	0	0	0	0	0	0	0	0
"aefe4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002250826475346	0.000937388887093	0.009906605664159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001700806034164	0.003335301062574	0.002266160557476	0.003734439834025	0	0	0
"6d9f4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001551540226913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2a2e5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00316772796328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001889020070838	0.001246388306612	0.002341434499111	0	0	0
"249be"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002291825821238	0	0	0	0	0	0	0	0	0	0.001473004362359	0	0	0	0
"684c3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00127471531358	0	0	0	0
