"predictors","IncNodePurity","IncMSE"
"e5746",78022.3765201044,9.90374367444925
"2ecff",38084.7951922229,6.59939347345361
"301d2",32196.2348371952,5.72605910517496
"82a96",30796.9644226936,5.70722279607486
"49fe1",31072.4819662505,5.49014426905251
"dd87f",24127.4252229899,5.01973750767506
"88adc",24640.4511901412,4.99458375728315
"ea057",10874.0307532604,3.65806341823739
"854c8",15522.2286644488,3.41037891196564
"d1b7f",5127.62941741717,2.8237281877688
"a29d8",7440.62363576109,2.76467801692512
"7dba2",6938.65461994878,2.74553805985679
"78bc1",6187.12733987505,2.64959864035544
"55449",29.9200069472511,2.57870402676119
"8b869",4268.30850558431,2.51071170896573
"c7a4a",4626.52483553294,2.33655178276529
"0b32a",3305.61743096806,2.28829247030236
"cfa64",4825.44126139337,2.23030586150186
"7540f",5929.29007565811,2.20043599562467
"72795",4824.23186864755,2.15610794467958
"778fd",3504.20469350374,2.06126801973447
"2a853",2954.35314235068,2.01079503100822
"78883",3581.09067964474,2.00165156106057
"a42cd",2533.01387324111,1.9984727382401
"4d373",1260.28090298214,1.99026017119256
"1fada",3933.74699233909,1.9812352027161
"b8e9e",5407.80652823263,1.94365904034665
"bf1a9",11633.6534617781,1.93311651908906
"fb7a7",3289.6309902085,1.89772576865727
"c7747",406.126318235159,1.88910222524709
"08322",4569.97222148671,1.82231453483315
"e2174",262.958746902336,1.78319150286629
"eabaa",3502.75168932019,1.77694077958851
"149d0",185.783229651326,1.7554885283131
"5bac1",1.10408161930049,1.75546215956704
"94f7b",1537.35783401564,1.73373462025772
"3e8b8",19.9795140844907,1.72230307792772
"ca4bc",2793.26596624341,1.71552593872162
"4e619",2429.84121842714,1.70081635408412
"8b6fa",2396.90598715763,1.65288073466809
"f372d",4205.03198646277,1.64004282463
"eba37",1615.9840719827,1.62983409115406
"05226",6.8801757769522,1.62513326298413
"ce9c1",4.28980677787968,1.59803847712941
"0d875",18.8903904887039,1.58886691238468
"3f2a2",845.372789787789,1.56276440268002
"aadc9",4.08074912552678,1.56240816786141
"62339",4.10547111863851,1.56007817110043
"192ca",1.1670837033334,1.55284255905465
"9f25f",2780.43565371239,1.55247119274747
