"sampleID"	"BarcodeSequence"	"LinkerPrimerSequence"	"collection-date"	"SampleID-new"	"Barplot-name-rev"	"yaer"	"month"	"sample-name-sequencing-centre"	"sequencing-centre"	"new-sample-Ids"	"sequancing-run"	"result"	"station"	"barplot-name"	"origin"	"origin_new"	"environment"	"DEPTH"	"amplicon"	"primers"	"DNA-extraction"	"DNA-conc"	"temperature"	"pH"	"turbidity"	"conductivity"	"TN"	"TP"	"Na"
"Barbutim_09_2017_W"			"09-2017"	"8W-719"	"8W-917"	2017	"Sep"	"8w"	"MrDNA"	"8W-917"	"05-2018"	"work"	"Barbutim"	"Barbutim 09-2017"	"Tabha"	"Tabgha-Fuliya"	"Water"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-Water"	1.56	26	7.49	1.32	3630	0.64	19.7	19.36
"Haon_09_2017_W"			"09-2017"	"16W-719"	"16W-917"	2017	"Sep"	"16w"	"MrDNA"	"16W-917"	"05-2018"	"work"	"Haon"	"Haon 09-2017"	"Haon"	"Haon"	"Water"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-Water"	23.8	27	7.38	17.7	14400	2.57	98.3	115.57
"Tiberias_Head_09_2017_W"			"09-2017"	"12W-719"	"12W-917"	2017	"Sep"	"12w"	"MrDNA"	"12W-917"	"05-2018"	"work"	"Tiberias Head"	"Tiberias Head 09-2017"	"Hamei-tveria"	"Tiberias Hot Springs"	"Water"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-Water"	8.22	59	6.51	8.83	46600	9.44	24.6	360.59
"Maayan1_09_2017_W"			"09-2017"	"9W-719"	"9W-917"	2017	"Sep"	"9w"	"MrDNA"	"9W-917"	"05-2018"	"work"	"Maayan1"	"Maayan1 09-2017"	"Tabha"	"Tabgha-Fuliya"	"Water"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-Water"	2.64	29	7.42	1.22	4460	2.22	17	27.97
"Ein7_09_2017_W"			"09-2017"	"6W-719"	"6W-917"	2017	"Sep"	"6w"	"MrDNA"	"6W-917"	"05-2018"	"work"	"Ein7"	"Ein7 09-2017"	"Tabha"	"Tabgha-Fuliya"	"Water"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-Water"	11	25	7.36	1.18	4480	2.81	19.8	18.53
"Fuliya4_09_2017_W"			"09-2017"	"5W-719"	"179-5w"	2017	"Sep"	"5w"	"MrDNA"	"5W-917"	"05-2018"	"work"	"Fuliya4"	"Fuliya4 09-2017"	"Fulia"	"Tabgha-Fuliya"	"Water"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-Water"	10.2	30	7.29	5.19	3420	3.75	24.7	19.62
"Tiberias_Pump_09_2017_W"			"09-2017"	"13W-719"	"13W-917"	2017	"Sep"	"13w-0917"	"MrDNA"	"13W-917"	"10-2020"	"work"	"Tiberias Pump"	"Tiberias Pump 09-2017"	"Hamei-tveria"	"Tiberias Hot Springs"	"Water"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-Water"	10.6	51	6.93	2.91	44900	2.55	27.9	341.8
"Gesher_hana_09_2017_W"			"09-2017"	"11W-719"	"11W-917"	2017	"Sep"	"11W-0917"	"MrDNA"	"11W-917"	"10-2020"	"work"	"Gesher hana"	"Gesher hana 09-2017"	"Tabha"	"Tabgha-Fuliya"	"Water"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-Water"	7.8	26	7.89	2.21	4430	2.4	18.3	27.23
"Nur_09_2017_W"			"09-2017"	"10W-719"	"10W-917"	2017	"Sep"	"10W-0917"	"MrDNA"	"10W-917"	"10-2020"	"work"	"Nur"	"Nur 09-2017"	"Tabha"	"Tabgha-Fuliya"	"Water"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-Water"	1.16	26	7.29	0.54	6660	2.04	17.4	41.58
"Barbutim_01_2018_W"			"01-2018"	"8W-811"	"8W-118"	2018	"Jan"	"Oded074_8w_0118"	"UIC"	"8W-118"	"10-2020"	"work"	"Barbutim"	"Barbutim 01-2018"	"Tabha"	"Tabgha-Fuliya"	"Water"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-Water"	2.62	24	7.45	2.33	3690	0.93	19.5	21.56
"Haon_01_2018_W"			"01-2018"	"16W-811"	"16W-118"	2018	"Jan"	"Oded075_16w_0118"	"UIC"	"16W-118"	"10-2020"	"work"	"Haon"	"Haon 01-2018"	"Haon"	"Haon"	"Water"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-Water"	5.56	22.1	7.33	880	13920	3.69	130.2	87.97
"Tiberias_Pump_01_2018_W"			"01-2018"	"13W-811"	"13W-118"	2018	"Jan"	"Oded077_13w_0118"	"UIC"	"13W-118"	"10-2020"	"work"	"Tiberias Pump"	"Tiberias Pump 01-2018"	"Hamei-tveria"	"Tiberias Hot Springs"	"Water"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-Water"	4.96	39	6.69	5.86	37600	2.18	60.7	219.13
"Tiberias_Pool_01_2018_W"			"01-2018"	"14W-811"	"14W-118"	2018	"Jan"	"Oded078_14W_0118"	"UIC"	"14W-118"	"10-2020"	"fail"	"Tiberias Pool"	"Tiberias Pool 01-2018"	"Hamei-tveria"	"Tiberias Hot Springs"	"Water"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-Water"	9.48	40	7.02	5.38	46800	3.85	16	284.72
