"SampleID"	"BarcodeSequence"	"LinkerPrimerSequence"	"new-sample-IDs"	"collection-date"	"yaer"	"month"	"sample-name-sequencing-centre"	"sequencing-centre"	"sequancing-run"	"result"	"station"	"date_last_three"	"Station-date"	"origin"	"origin_new"	"environment"	"DEPTH"	"amplicon"	"primers"	"DNA-extraction"	"DNA-conc"	"temperature"	"DO"	"Chl"	"pH"	"turbidity"	"alkalinity"	"ORP"	"Cl"	"conductivity"	"TN"	"TP"	"SO4"	"microcystis-biomass"	"pytoplankton-biomas"	"ciliates-biomass"	"bacil-chr-biomass"	"chloro-biomass"	"crypto-biomass"	"cyanoph-biomass"	"dino-biomass"	"Na"
"8W-118"			"barbutim_01-2018_W"	"01-2018"	2018	"Jan"	"Oded131_8w_0118 "	"UIC"	"10-2020"	"work"	"Barbutim"	"118"	"Barbutim 118"	"Tabha"	"Tabgha"	"Water"	"0m"	"18S-v9"	"1391f-EukBr"	"Power-water"	2.62	24			7.45	2.33				3690	0.93	19.5										21.56
"16W-118"			"haon-drill_01-2018_W"	"01-2018"	2018	"Jan"	"Oded132_16w_0118"	"UIC"	"10-2020"	"work"	"Haon Drill"	"118"	"Haon Drill 118"	"Haon"	"Haon"	"Water"	"0m"	"18S-v9"	"1391f-EukBr"	"Power-water"	5.56	22.1			7.33	880				13920	3.69	130.2										87.97
"12W-118"			"tveria-head_01-2018_W"	"01-2018"	2018	"Jan"	"Oded133_12w_0118"	"UIC"	"10-2020"	"work"	"Tiberias Head"	"118"	"Tiberias Head 118"	"Hamei-tveria"	"Tiberias Hot Springs"	"Water"	"0m"	"18S-v9"	"1391f-EukBr"	"Power-water"	10.8	56			6.06	0.71				45900	3.62	8.7										274.94
"13W-118"			"tveria-pump_01-2018_W"	"01-2018"	2018	"Jan"	"Oded134_13w_0118"	"UIC"	"10-2020"	"work"	"Tiberias Pump"	"118"	"Tiberias Pump 118"	"Hamei-tveria"	"Tiberias Hot Springs"	"Water"	"0m"	"18S-v9"	"1391f-EukBr"	"Power-water"	4.96	39			6.69	5.86				37600	2.18	60.7										219.13
"14W-118"			"tveria-pool_01-2018_W"	"01-2018"	2018	"Jan"	"Oded135_14W_0118"	"UIC"	"10-2020"	"work"	"Tiberias Pool"	"118"	"Tiberias Pool 118"	"Hamei-tveria"	"Tiberias Hot Springs"	"Water"	"0m"	"18S-v9"	"1391f-EukBr"	"Power-water"	9.48	40			7.02	5.38				46800	3.85	16										284.72
"11W-118"			"gesher-hana_01-2018_W"	"01-2018"	2018	"Jan"	"Oded136_11W_0118"	"UIC"	"10-2020"	"work"	"Gesher Hana"	"118"	"Gesher Hana 118"	"Tabha"	"Tabgha"	"Water"	"0m"	"18S-v9"	"1391f-EukBr"	"Power-water"	3.91	23			7.13	2.59				3500	3.34	13.4										20.7
"10W-118"			"nur_01-2018_W"	"01-2018"	2018	"Jan"	"Oded137_10W_0118"	"UIC"	"10-2020"	"work"	"Nur"	"118"	"Nur 118"	"Tabha"	"Tabgha"	"Water"	"0m"	"18S-v9"	"1391f-EukBr"	"Power-water"	1.68	26			7.41	1.63				5070	3.04	18.5										37.05
"9W-118"			"maayan1_01-2018_W"	"01-2018"	2018	"Jan"	"Oded138_9W_0118"	"UIC"	"10-2020"	"work"	"Maayan1"	"118"	"Maayan1 118"	"Tabha"	"Tabgha"	"Water"	"0m"	"18S-v9"	"1391f-EukBr"	"Power-water"	1.16	23			7.69	3.81				3310	3.69	20.6										21.27
"6W-118"			"ein7_01-2018_W"	"01-2018"	2018	"Jan"	"Oded139_6W0118"	"UIC"	"10-2020"	"work"	"Ein7"	"118"	"Ein7 118"	"Tabha"	"Tabgha"	"Water"	"0m"	"18S-v9"	"1391f-EukBr"	"Power-water"	1.38	23			7.91	1.91				1795	6.19	54.2										20.85
"5W-118"			"fulia4_01-2018_W"	"01-2018"	2018	"Jan"	"Oded140_5W_0118"	"UIC"	"10-2020"	"work"	"Fuliya4"	"118"	"Fuliya4 118"	"Fulia"	"Fuliya"	"Water"	"0m"	"18S-v9"	"1391f-EukBr"	"Power-water"	2.6	26			7.35	1.88				3490	4.06	11.6										19.58
"12B-118"			"tveria-head_01-2018_B"	"01-2018"	2018	"Jan"	"Oded141_12B_0118"	"UIC"	"10-2020"	"work"	"Tiberias Head"	"118"	"Tiberias Head 118"	"Hamei-tveria"	"Tiberias Hot Springs"	"Biofilm"	"0m"	"18S-v9"	"1391f-EukBr"	"Power-soil"	22.2	56			6.06	0.71				45900	3.62	8.7										274.94
"14B-118"			"tveria-pool_01-2018_B"	"01-2018"	2018	"Jan"	"Oded142_14B_0118"	"UIC"	"10-2020"	"work"	"Tiberias Pool"	"118"	"Tiberias Pool 118"	"Hamei-tveria"	"Tiberias Hot Springs"	"Biofilm"	"0m"	"18S-v9"	"1391f-EukBr"	"Power-soil"	3.8	40			7.02	5.38				46800	3.85	16										284.72
"11B-118"			"gesher-hana_01-2018_B"	"01-2018"	2018	"Jan"	"Oded143_11B_0118"	"UIC"	"10-2020"	"work"	"Gesher Hana"	"118"	"Gesher Hana 118"	"Tabha"	"Tabgha"	"Biofilm"	"0m"	"18S-v9"	"1391f-EukBr"	"Power-soil"	7.9	23			7.13	2.59				3500	3.34	13.4										20.7
"9B-118"			"maayan1_01-2018_B"	"01-2018"	2018	"Jan"	"Oded144_9B_0118"	"UIC"	"10-2020"	"work"	"Maayan1"	"118"	"Maayan1 118"	"Tabha"	"Tabgha"	"Biofilm"	"0m"	"18S-v9"	"1391f-EukBr"	"Power-soil"	29.4	23			7.69	3.81				3310	3.69	20.6										21.27
"6B-118"			"ein7_01-2018_B"	"01-2018"	2018	"Jan"	"Oded145_6B_0118"	"UIC"	"10-2020"	"work"	"Ein7"	"118"	"Ein7 118"	"Tabha"	"Tabgha"	"Biofilm"	"0m"	"18S-v9"	"1391f-EukBr"	"Power-soil"	7.2	23			7.91	1.91				1795	6.19	54.2										20.85
"5B-118"			"fulia4_01-2018_B"	"01-2018"	2018	"Jan"	"Oded146_5B_0118"	"UIC"	"10-2020"	"work"	"Fuliya4"	"118"	"Fuliya4 118"	"Fulia"	"Fuliya"	"Biofilm"	"0m"	"18S-v9"	"1391f-EukBr"	"Power-soil"	25.2	26			7.35	1.88				3490	4.06	11.6										19.58
"8W-918"			"barbutim_09-2018_W"	"09-2018"	2018	"Sep"	"Oded147_8w_0918"	"UIC"	"10-2020"	"work"	"Barbutim"	"918"	"Barbutim 918"	"Tabha"	"Tabgha"	"Water"	"0m"	"18S-v9"	"1391f-EukBr"	"Power-water"	2.12	27			7.16	0.93				4280	1.22	12.4										22.35
"16W-918"			"haon-drill_09-2018_W"	"09-2018"	2018	"Sep"	"Oded148_16w_0918"	"UIC"	"10-2020"	"work"	"Haon Drill"	"918"	"Haon Drill 918"	"Haon"	"Haon"	"Water"	"0m"	"18S-v9"	"1391f-EukBr"	"Power-water"	3.82	26			7.16	6.18				13410	5.97	41.9										87.34
"12W-918"			"tveria-head_09-2018_W"	"09-2018"	2018	"Sep"	"Oded149_12w_0918"	"UIC"	"10-2020"	"work"	"Tiberias Head"	"918"	"Tiberias Head 918"	"Hamei-tveria"	"Tiberias Hot Springs"	"Water"	"0m"	"18S-v9"	"1391f-EukBr"	"Power-water"	1.03	58.5			6.36	0.81				46900	9.89	12.6										282.79
"13W-918"			"tveria-pump_09-2018_W"	"09-2018"	2018	"Sep"	"Oded150_13w_0918"	"UIC"	"10-2020"	"work"	"Tiberias Pump"	"918"	"Tiberias Pump 918"	"Hamei-tveria"	"Tiberias Hot Springs"	"Water"	"0m"	"18S-v9"	"1391f-EukBr"	"Power-water"	3.5	49			6.92	2.91				43000	9.38	30.6										250.99
"14W-918"			"tveria-pool_09-2018_W"	"09-2018"	2018	"Sep"	"Oded151_14W_0918"	"UIC"	"10-2020"	"work"	"Tiberias Pool"	"918"	"Tiberias Pool 918"	"Hamei-tveria"	"Tiberias Hot Springs"	"Water"	"0m"	"18S-v9"	"1391f-EukBr"	"Power-water"	3.46	44			6.91	1.26				48400	8.35	16.3										296.29
"11W-918"			"gesher-hana_09-2018_W"	"09-2018"	2018	"Sep"	"Oded152_11W_0918"	"UIC"	"10-2020"	"work"	"Gesher Hana"	"918"	"Gesher Hana 918"	"Tabha"	"Tabgha"	"Water"	"0m"	"18S-v9"	"1391f-EukBr"	"Power-water"	8.18	25			7.61	11.1				4530	4.64	41.5										24.85
"10W-918"			"nur_09-2018_W"	"09-2018"	2018	"Sep"	"Oded153_10W_0918"	"UIC"	"10-2020"	"work"	"Nur"	"918"	"Nur 918"	"Tabha"	"Tabgha"	"Water"	"0m"	"18S-v9"	"1391f-EukBr"	"Power-water"	2.86	27			7.03	2.56				7850	3.5	20										46.71
