"# Constructed from biom file"																																								
"#OTU ID"	"Tiberias_Head_09_2017"	"Tiberias_Pump_09_2017"	"Tiberias_Pool_09_2018"	"Tiberias_Pool_01_2019"	"Tiberias_Pool_06_2018"	"Tiberias_Pool_01_2018"	"Tiberias_Head_09_2018"	"Tiberias_Head_01_2019"	"Tiberias_Head_06_2018"	"Tiberias_Pump_01_2019"	"Tiberias_Pump_09_2018"	"Tiberias_Pump_01_2018"	"Haon_01_2019"	"Haon_09_2017"	"Haon_01_2018"	"Haon_09_2018"	"Nur_09_2018"	"Nur_09_2017"	"Nur_01_2019"	"Nur_01_2018"	"Maayan1_09_2017"	"Gesher_hana_09_2017"	"Barbutim_01_2019"	"Maayan1_09_2018"	"Gesher_hana_09_2018"	"Ein7_09_2018"	"Barbutim_09_2018"	"Barbutim_01_2018"	"Maayan1_01_2018"	"Fuliya4_01_2019"	"Ein7_01_2018"	"Gesher_hana_01_2018"	"Fuliya4_09_2017"	"Fuliya4_01_2018"	"Barbutim_09_2017"	"Ein7_09_2017"	"Fuliya4_09_2018"	"Maayan1_01_2019"	"Gesher_hana_01_2019"	"Ein7_01_2019"
"5b23a"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00519194038684	0	0	0	0	0	0	0	0.03027793262722	0	0	0	0	0
"36ad7"	0	0.249283667621776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.153507285665876	0	0	0	0	0	0
"fad64"	0	0	0	0	0	0	0	0	0	0	0.001494768310912	0	0	0	0	0	0	0	0	0	0	0.155382367267414	0	0	0	0	0	0.301233875490746	0	0	0	0	0	0	0.012311857927849	0	0	0	0	0
"7cb66"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00267635251386	0	0.002976908842224	0.02462311557789	0	0	0	0.040886146943354	0	0	0	0	0.007828931993456	0	0.004045552281596	0	0	0	0.011155872327239	0
"8896d"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.030653266331658	0	0	0	0	0	0	0	0	0.006076186024772	0.002880379532362	0	0	0	0.444069227522161	0	0
"cab72"	0	0	0	0	0.001890359168242	0	0	0	0	0	0	0.005404077622206	0	0	0	0	0	0	0	0	0	0	0.033952852200499	0	0	0	0	0.02804262478968	0	0	0	0	0	0	0.00273950784423	0	0	0	0	0
"0cffc"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024676125848242	0.175471698113208	0.062759336099585	0	0	0	0.007080215624749	0	0	0	0	0.051486259113853	0.085626911314985	0	0	0	0	0	0.003965915425659	0	0.284410368747718	0	0	0
"6ee4d"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013099747474748	0.02466067673485	0	0	0.006532663316583	0.013698630136986	0	0	0	0	0	0	0	0.005842486562281	0	0	0	0	0	0	0
"3a6fe"	0.078947368421053	0	0.301089918256131	0.419437340153453	0.17296786389414	0.258016627078385	0	0	0.424657534246575	0	0.04372197309417	0.0253009088676	0	0	0	0	0	0	0	0	0.007136940036959	0	0	0	0	0	0	0	0	0	0	0	0.008062631455948	0	0	0	0	0	0	0
"9291e"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003653190452996	0	0	0	0	0	0	0	0.008333333333333	0	0	0.056321570460388	0.006607929515419	0	0	0	0	0	0
