"id"	"time"	"collection_date"	"year"	"month"	"station"	"cluster"	"environment"	"sequancing-run"	"sequencing-centre"	"faith_pd"	"pielou_evenness"	"shannon_entropy"	"observed_OTUs"
"12B-118"	2	"01-2018"	2018	"Jan"	"tveria-head"	"Tiberias_Hot_Springs"	"biofilm"	"UIC"	"10-2020"	5.7340157969273	0.796930621733074	3.1135207514014	15
"9B-118"	2	"01-2018"	2018	"Jan"	"maayan1"	"Tabgha"	"biofilm"	"UIC"	"10-2020"	10.3882316776299	0.73264599812864	3.8990893210476	40
"6B-118"	2	"01-2018"	2018	"Jan"	"ein7"	"Tabgha"	"biofilm"	"UIC"	"10-2020"	10.5907230175868	0.75290865216002	3.7979679773701	33
"5B-118"	2	"01-2018"	2018	"Jan"	"Fuliya4"	"Fuliya"	"biofilm"	"UIC"	"10-2020"	11.0880471710494	0.657308986614484	3.39823816357093	36
"14B-918"	3	"09-2018"	2018	"Sep"	"tveria-pool"	"Tiberias_Hot_Springs"	"biofilm"	"UIC"	"10-2020"	4.72393864038364	0.307235102567238	0.862517977421008	7
"11B-918"	3	"09-2018"	2018	"Sep"	"gesher-hana"	"Tabgha"	"biofilm"	"UIC"	"10-2020"	11.9221886237022	0.800758948150407	4.5422453502988	51
"9B-918"	3	"09-2018"	2018	"Sep"	"maayan1"	"Tabgha"	"biofilm"	"UIC"	"10-2020"	12.4359407213255	0.668452420646205	3.58126860622489	41
"5B-918"	3	"09-2018"	2018	"Sep"	"Fuliya4"	"Fuliya"	"biofilm"	"UIC"	"10-2020"	9.59832875368917	0.601908215829472	3.11182033359032	36
"12B-119"	4	"01-2019"	2019	"Jan"	"tveria-head"	"Tiberias_Hot_Springs"	"biofilm"	"UIC"	"10-2020"	4.70325649751206	0.741241445580963	2.08092782068481	7
"14B-119"	4	"01-2019"	2019	"Jan"	"tveria-pool"	"Tiberias_Hot_Springs"	"biofilm"	"UIC"	"10-2020"	4.17878307147355	0.607152834785739	1.56946731012768	6
"11B-119"	4	"01-2019"	2019	"Jan"	"gesher-hana"	"Tabgha"	"biofilm"	"UIC"	"10-2020"	14.6747896278377	0.856822014234513	5.14093208540708	64
"9B-119"	4	"01-2019"	2019	"Jan"	"maayan1"	"Tabgha"	"biofilm"	"UIC"	"10-2020"	12.3298676091839	0.587397398572195	3.16743322641577	42
"6B-119"	4	"01-2019"	2019	"Jan"	"ein7"	"Tabgha"	"biofilm"	"UIC"	"10-2020"	12.8134746070118	0.667765596084351	3.92822664240858	59
"5B-119"	4	"01-2019"	2019	"Jan"	"Fuliya4"	"Fuliya"	"biofilm"	"UIC"	"10-2020"	9.79963126782747	0.585129596645693	2.97682508025076	34
"12B-917"	1	"09-2017"	2017	"Sep"	"tveria-head"	"Tiberias_Hot_Springs"	"biofilm"	"MrDNA"	"12-2017"	5.20053896894119	0.706685079880344	2.44472870975729	11
"14B-917"	1	"09-2017"	2017	"Sep"	"tveria-pool"	"Tiberias_Hot_Springs"	"biofilm"	"MrDNA"	"12-2017"	4.70317732144113	0.238894925577261	0.617534424229792	6
"11B-917"	1	"09-2017"	2017	"Sep"	"gesher-hana"	"Tabgha"	"biofilm"	"MrDNA"	"12-2017"	10.5992254913284	0.724088826533985	3.95311343428162	44
"9B-917"	1	"09-2017"	2017	"Sep"	"maayan1"	"Tabgha"	"biofilm"	"MrDNA"	"12-2017"	9.09305476799916	0.778159989975668	3.78028644247046	29
"8W-118"	2	"01-2018"	2018	"Jan"	"barbutim"	"Tabgha"	"water"	"UIC"	"10-2020"	10.9324392645084	0.639473049626429	3.37987227539813	39
"16W-118"	2	"01-2018"	2018	"Jan"	"haon-drill"	"Haon"	"water"	"UIC"	"10-2020"	4.78603070922877	0.188301332429863	0.651415583239401	11
"13W-118"	2	"01-2018"	2018	"Jan"	"tveria-pump"	"Tiberias_Hot_Springs"	"water"	"UIC"	"10-2020"	8.0594693261044	0.538012528213187	2.69006264106593	32
"14W-118"	2	"01-2018"	2018	"Jan"	"tveria-pool"	"Tiberias_Hot_Springs"	"water"	"UIC"	"10-2020"	6.25482617223736	0.766912121381573	3.41999216280519	22
"11W-118"	2	"01-2018"	2018	"Jan"	"gesher-hana"	"Tabgha"	"water"	"UIC"	"10-2020"	14.3432873703461	0.768988511598575	4.63113166083992	65
"10W-118"	2	"01-2018"	2018	"Jan"	"nur"	"Tabgha"	"water"	"UIC"	"10-2020"	9.58415507704106	0.732439817414323	3.92408441205021	41
"9W-118"	2	"01-2018"	2018	"Jan"	"maayan1"	"Tabgha"	"water"	"UIC"	"10-2020"	9.10808402264009	0.579308627097657	2.92226103182504	33
"6W-118"	2	"01-2018"	2018	"Jan"	"ein7"	"Tabgha"	"water"	"UIC"	"10-2020"	10.6417200919878	0.760002569986443	4.22150180249305	47
"5W-118"	2	"01-2018"	2018	"Jan"	"Fuliya4"	"Fuliya"	"water"	"UIC"	"10-2020"	10.0187934189291	0.674783259011994	3.70581053035645	45
"8W-918"	3	"09-2018"	2018	"Sep"	"barbutim"	"Tabgha"	"water"	"UIC"	"10-2020"	6.78458078402311	0.167227805169834	0.683537439655549	17
"16W-918"	3	"09-2018"	2018	"Sep"	"haon-drill"	"Haon"	"water"	"UIC"	"10-2020"	3.69502377787067	0.317183534714386	0.634367069428772	4
"12W-918"	3	"09-2018"	2018	"Sep"	"tveria-head"	"Tiberias_Hot_Springs"	"water"	"UIC"	"10-2020"	3.80409697271333	0.423443100463636	1.0945845358876	6
"13W-918"	3	"09-2018"	2018	"Sep"	"tveria-pump"	"Tiberias_Hot_Springs"	"water"	"UIC"	"10-2020"	10.2799300715903	0.596492939088056	3.15270510379168	39
"11W-918"	3	"09-2018"	2018	"Sep"	"gesher-hana"	"Tabgha"	"water"	"UIC"	"10-2020"	13.0853186775873	0.836814035160938	5.09407434407897	68
"10W-918"	3	"09-2018"	2018	"Sep"	"nur"	"Tabgha"	"water"	"UIC"	"10-2020"	7.72136266225673	0.687184833609813	3.0183339173337	21
"9W-918"	3	"09-2018"	2018	"Sep"	"maayan1"	"Tabgha"	"water"	"UIC"	"10-2020"	10.0955998396476	0.545271839334844	2.75056605979245	33
"6W-918"	3	"09-2018"	2018	"Sep"	"ein7"	"Tabgha"	"water"	"UIC"	"10-2020"	8.22648611216546	0.695110087507468	3.53634674077251	34
"5W-918"	3	"09-2018"	2018	"Sep"	"Fuliya4"	"Fuliya"	"water"	"UIC"	"10-2020"	10.8940332891082	0.714415467537459	4.1113806454836	54
"8W-119"	4	"01-2019"	2019	"Jan"	"barbutim"	"Tabgha"	"water"	"UIC"	"10-2020"	9.5475809671561	0.594132890747827	2.94345097522237	31
"16W-119"	4	"01-2019"	2019	"Jan"	"haon-drill"	"Haon"	"water"	"UIC"	"10-2020"	5.15910600383403	0.238370433509004	0.824626214629328	11
"13W-119"	4	"01-2019"	2019	"Jan"	"tveria-pump"	"Tiberias_Hot_Springs"	"water"	"UIC"	"10-2020"	5.5192533247194	0.734095578044908	2.86803111014145	15
"14W-119"	4	"01-2019"	2019	"Jan"	"tveria-pool"	"Tiberias_Hot_Springs"	"water"	"UIC"	"10-2020"	6.09407369587683	0.683335513884476	2.7931085211095	17
"11W-119"	4	"01-2019"	2019	"Jan"	"gesher-hana"	"Tabgha"	"water"	"UIC"	"10-2020"	13.2233040305115	0.775859881918972	4.61962204629914	62
"10W-119"	4	"01-2019"	2019	"Jan"	"nur"	"Tabgha"	"water"	"UIC"	"10-2020"	8.89665088836198	0.63003837635834	3.0915293838252	30
"9W-119"	4	"01-2019"	2019	"Jan"	"maayan1"	"Tabgha"	"water"	"UIC"	"10-2020"	10.3863028842572	0.746933545150265	3.89111547068421	37
"6W-119"	4	"01-2019"	2019	"Jan"	"ein7"	"Tabgha"	"water"	"UIC"	"10-2020"	9.50066029289081	0.761080850127604	3.61885382240769	27
"5W-119"	4	"01-2019"	2019	"Jan"	"Fuliya4"	"Fuliya"	"water"	"UIC"	"10-2020"	7.87817019472656	0.72992554538088	3.34668125388977	24
"8W-917"	1	"09-2017"	2017	"Sep"	"barbutim"	"Tabgha"	"water"	"MrDNA"	"12-2017"	6.02654770326749	0.174833562553041	0.742680300642422	19
"16W-917"	1	"09-2017"	2017	"Sep"	"haon-drill"	"Haon"	"water"	"MrDNA"	"12-2017"	4.68568245970874	0.278065137656985	0.923712392991461	10
"12W-917"	1	"09-2017"	2017	"Sep"	"tveria-head"	"Tiberias_Hot_Springs"	"water"	"MrDNA"	"12-2017"	5.43058318659914	0.683029323846828	2.52750883861786	13
"14W-917"	1	"09-2017"	2017	"Sep"	"tveria-pool"	"Tiberias_Hot_Springs"	"water"	"MrDNA"	"12-2017"	4.45770802238968	0.877356493259786	2.78115428316195	9
"11W-917"	1	"09-2017"	2017	"Sep"	"gesher-hana"	"Tabgha"	"water"	"MrDNA"	"12-2017"	11.7131917009443	0.68189535980191	3.99453005838526	58
"9W-917"	1	"09-2017"	2017	"Sep"	"maayan1"	"Tabgha"	"water"	"MrDNA"	"12-2017"	12.0698994842376	0.726156557152842	4.32367869336269	62
"6W-917"	1	"09-2017"	2017	"Sep"	"ein7"	"Tabgha"	"water"	"MrDNA"	"12-2017"	9.93711800160484	0.794376013326074	4.48334397981893	50
"5W-917"	1	"09-2017"	2017	"Sep"	"Fuliya4"	"Fuliya"	"water"	"MrDNA"	"12-2017"	12.2130088240503	0.760403720352238	4.72169144057798	74
