"feature_ID"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"42c86"	"42c86"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"99976"	"99976"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"a263e"	"a263e"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"118d3"	"118d3"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"d5436"	"d5436"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"cd457"	"cd457"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"aefe4"	"aefe4"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"6d9f4"	"6d9f4"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"2a2e5"	"2a2e5"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"249be"	"249be"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"684c3"	"684c3"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"9618c"	"9618c"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"3f945"	"3f945"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"b604a"	"b604a"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"481fa"	"481fa"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"b2132"	"b2132"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"ebd16"	"ebd16"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"80202"	"80202"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"b9cb1"	"b9cb1"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"04e05"	"04e05"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"abfc9"	"abfc9"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"2a112"	"2a112"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"7a29c"	"7a29c"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"793c4"	"793c4"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"db5f2"	"db5f2"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"1ef1f"	"1ef1f"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"d1b7f"	"d1b7f"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"02766"	"02766"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"54c81"	"54c81"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"2a853"	"2a853"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"e2aff"	"e2aff"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"1be76"	"1be76"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"0a011"	"0a011"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"e3fd1"	"e3fd1"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"fb7a7"	"fb7a7"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"3292d"	"3292d"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"aadc9"	"aadc9"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"65e53"	"65e53"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"7164a"	"7164a"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"96bcd"	"96bcd"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"84be2"	"84be2"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"09c1e"	"09c1e"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"b4e69"	"b4e69"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"a4a18"	"a4a18"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"afaae"	"afaae"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"d9886"	"d9886"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"8634a"	"8634a"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"eee9c"	"eee9c"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"4cb24"	"4cb24"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"1f87c"	"1f87c"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"1d98a"	"1d98a"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"94adb"	"94adb"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"f481b"	"f481b"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"25463"	"25463"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"2dfdf"	"2dfdf"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"5b9cb"	"5b9cb"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"45b4f"	"45b4f"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"cfa64"	"cfa64"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"97307"	"97307"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"be50d"	"be50d"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"75a73"	"75a73"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"f5c81"	"f5c81"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"fce86"	"fce86"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"80658"	"80658"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"40837"	"40837"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"7dba2"	"7dba2"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"5ed29"	"5ed29"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"c7e61"	"c7e61"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"98303"	"98303"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"3fccc"	"3fccc"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"374a8"	"374a8"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"ddd69"	"ddd69"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"33db5"	"33db5"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"58b07"	"58b07"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"ca484"	"ca484"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"e5746"	"e5746"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"974a1"	"974a1"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"a36db"	"a36db"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"baf1f"	"baf1f"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"f18ab"	"f18ab"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"613d3"	"613d3"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"3b0ae"	"3b0ae"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"f5fd2"	"f5fd2"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
