"feature_ID"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"4a4c1"	"4a4c1"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"5dd96"	"5dd96"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"7901c"	"7901c"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"d7b79"	"d7b79"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"fd7ae"	"fd7ae"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"d5b00"	"d5b00"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"b1a6d"	"b1a6d"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"6dc32"	"6dc32"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"fad64"	"fad64"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"0bf27"	"0bf27"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"e1e6e"	"e1e6e"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"ae398"	"ae398"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"caea4"	"caea4"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"f8481"	"f8481"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"9b6f9"	"9b6f9"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"3a6fe"	"3a6fe"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"0cffc"	"0cffc"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"73caf"	"73caf"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"68fb8"	"68fb8"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"a3489"	"a3489"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"54404"	"54404"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"18472"	"18472"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"09921"	"09921"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"e03e5"	"e03e5"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"de54e"	"de54e"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"bb1b6"	"bb1b6"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"d408f"	"d408f"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"7013b"	"7013b"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"a173a"	"a173a"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"c1933"	"c1933"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"8294b"	"8294b"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"d7d05"	"d7d05"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"5b23a"	"5b23a"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"c02ec"	"c02ec"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"36ad7"	"36ad7"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"9b87b"	"9b87b"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"39a8e"	"39a8e"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"5f2ab"	"5f2ab"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"26403"	"26403"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"bbf7e"	"bbf7e"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"a8049"	"a8049"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"dbd00"	"dbd00"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"f0c0c"	"f0c0c"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"cab72"	"cab72"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"70296"	"70296"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"32417"	"32417"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"8896d"	"8896d"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"85291"	"85291"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"4fc90"	"4fc90"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"7cb66"	"7cb66"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"bee4e"	"bee4e"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"e97f7"	"e97f7"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"cc19e"	"cc19e"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"8924e"	"8924e"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"1b115"	"1b115"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"dc4ce"	"dc4ce"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"2a7d1"	"2a7d1"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"bd9f8"	"bd9f8"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"7f4a4"	"7f4a4"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"d7f5c"	"d7f5c"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"8c730"	"8c730"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"0f112"	"0f112"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
